Sentence,Hyperbole,Metaphor
"`` I thought I did a good job and got her home , '' Dr. Gardner says , `` and they turn around and kick me in the teeth .",1,1
For 100 years Wyoming has been riding a roller coaster,1,0
Russians eat awful sausage by the ton,1,0
"`` We are ready to eat leaves , '' Mr. al - Khayil says , gesturing at his blossoming grape arbors",1,1
"The tax announcement caused both investors and legislators , many of whom own brokerage houses , to call for the resignation of Finance Minister Shirley Kuo , who decided to reimpose the tax from Jan. 1 to cool the market",1,1
"But when the buy programs kick in , he said , traders scramble to cover short positions",1,1
"Unfortunately , the East End slasher 's identity was never learned , which opened the way for a century of speculation as well as making it possible for various small - scale entrepreneurs to flourish in the Ripper business",1,0
It also vindicates Pratt 's efforts to fix problems in customer service that contributed to its loss of dominance in the commercial jet engine field to General Electric Co,1,1
But striking a compromise will be tough because lawmakers fiercely disagree about what should be done,1,0
"But if it was mainly a mere problem of perceptions that knocked 80 points off the Dow Jones Industrial Average last week , that is all the more reason for the Bush team to make it clear that it does not intend to employ manic currency manipulation as a fundamental of U.S. economic policy",1,0
"Just as Reuters and Telerate want to grab a piece of Quotron 's territory by offering U.S. equities quotes , Quotron is eyeing their turf and mulling ways to offer pricing information on fixed - income instruments and foreign currencies",1,1
"The father and grown son walked slowly , their long , ebony shadows in sharp contrast against the tawny strips of switch grass , as the young hunter 's golden retriever melted in and out of sight in front of them",1,0
"For families too proud to eat at the kitchen with its storefront windows , a food pantry was added , allowing them to slip in quietly for bags of noodles , bread and baby formula",1,0
"Rawls and Nozick , it was the politicians who dragged the philosophers into public debate",1,1
"Much of the division 's effort used to be focused on providing services to , watching over and smoothing relationships with the company 's independent and sometimes strong - minded bottlers",1,1
"The GAO was also to examine if the law has caused excessive red tape for employers , and if the law is being implemented well",1,1
"Suddenly , he jumps off the stage and grabs a woman from the audience to dance with him",1,0
"Still , he said , the exchange was planning to make the information available as a matter of `` sunshine , '' so it could put the fairness issue to rest",1,1
"`` Nobody is more innocent than the asbestos worker who was unknowingly exposed to the dangerous product that kills him , '' contends Mr. Schroeter",1,0
"Mr. Davis openly has a bone to pick with urban renewal , but this hardly seems a prejudice on his part: Urban renewal did in fact come into Fulton and systematically destroyed the old neighborhood , and there was n't anything subtle about it",1,1
We can also see dissolving a central tenet of those who 've long argued that the large budget and trade deficits of the Reagan years have left the U.S. economy tottering on the edge of ruin,1,1
"`` At last insane , at last at peace '' - - these are the thoughts a woman riding a bicycle beams up to the angels",1,0
"Outraged letters poured into the office of House Speaker Loftus , an early member of the Welfare Commission and a strong advocate of the changes ; just last month a group of second wives staged a protest at the courthouse in Madison",1,0
"Mr. Pickens was badly beaten in last fall 's battle for Newmont Mining , a raid that baffled takeover experts because 26 % of Newmont was already controlled by the ultimate victor , Consolidated Gold Fields PLC. Mesa 's $ 100 million stock profit from the deal - - Mr. Pickens 's estimate - - also evaporated during October 's market crash",1,0
"A fitness enthusiast , he likes to ski and pump iron",1,1
"By flooding America 's least competent farmers with easy credit and perpetual bailouts , Congress and the Farmers Home Administration have proved they are no friend to American agriculture and the American taxpayer",1,0
"Also , growing competition is forcing many utilities to lower rates , though costs remain fixed , thus squeezing profits",1,1
"In the race to build a profitable investment - banking operation , National Westminster Bank PLC keeps stumbling",1,0
"In recent days , arbs have poured money into takeover candidates such as Kraft - LRB - target of Philip Morris - RRB - and Pillsbury - LRB - pursued by Grand Metropolitan - RRB - , and into Chicago Pacific - LRB - being acquired by Maytag - RRB -",1,1
"Alain Minc , Patrick Ponsolle and Maurice Lippens were flying from Paris to Brussels last Monday night when they uncorked a bottle of warm champagne and toasted the future of Societe Generale de Belgique S.A . , the giant Belgian holding company",1,0
"The real estate division , which reports to Mr. Brown , has also lost seasoned leadership at a time when it has been aggressively lending to developers",1,0
Others are flooding their local television broadcasts with press releases and advertising that stresses the quality and safety of the vehicles,1,1
"But he said that whatever central banks do , they will do cautiously , not wishing to repeat the turmoil of last fall , when rising rates helped touch off the world - wide stock market crash",1,1
"Vice President George Bush will roll over Democrat Michael Dukakis on Tuesday , but Democrats will hold their own or pick up seats in the Congress and tighten their grip on governorships , The Wall Street Journal 's regular panel of political experts agrees",1,1
"Public anger reached its zenith April 30 , 1982 , when angry mobs stopped three taxis bearing margis , dragged them from their cars , bludgeoned and poured acid on them and finally burned them to death",1,1
"In 1946 , Stalin in his campaign to break Ukrainian nationalism brutally forced the Russian Orthodox Church to absorb the Ukrainian Catholic Church",1,1
"More than $ 5 million is being poured into this year 's campaign , political insiders estimate , making it a hugely expensive municipal debate",1,1
"The long war over , blacks found that they had little more than the freedom to drown in the white world 's misery",1,1
"On the stage , looking tired from ceaseless concertizing at just about every summer festival there is , Vladimir Feltsman attacked his recital program with typical confidence and power",1,1
"The Tokyo Stock Exchange has twice this year raised margin requirements in an effort to cool the Tokyo market 's sharp rally , but share prices have continued upward as the moves were widely viewed as , if anything , healthy and reassuring",1,1
"`` We had to melt it down with hot water , as hot as your head could stand , before we could comb the hair out , '' recalls Jennie Aguilar , a beauty - school instructor in Canoga Park , Calif",1,0
"`` We do n't need the government trying to destroy the industry because of a few bad apples , '' says David L. Ganz , an ANA board member and a lawyer for some coin dealers",1,0
"Investors hungering for safety and high yields are pouring record sums into single - premium , interest - earning annuities",1,1
March 1989 at one point touched its limit decline before recovering slightly,1,0
"Triple - digit inflation returned , and his popularity evaporated",1,0
"`` If investors are grasping at the straw of stability and driving the markets up , it just shows how currency - sensitive the markets are , '' he said",1,0
"In an even more barbed letter sent earlier in the month , James Miller , director of the Office of Management and Budget , charged that in examining the controversial issue of shareholder voting rights , the SEC `` lost sight of an important value - - that of competition .",1,0
"This weapon could be extremely powerful , perhaps ideal for the European battlefield - - simply put attacking troops to sleep",1,1
"Morally repugnant and economically absurd , the scheme would knock over homes and churches , plow up cemeteries and herd the residents into `` urban agro - industrial complexes .",1,0
It pours toilet paper in parts of Michigan,1,1
"When the chairman of Santa Fe Southern Pacific Corp. flew into town a few months ago in the corporate jet , a small group of trainmen here knew they had struck a raw nerve",1,1
"According to Mr. Bellrose , the decline is due to a two - fisted villain that has struck the ducks where they 're the most vulnerable - - on the prairies of the Dakotas and southern Canada",1,1
"With investors pouring huge sums into art and other collectibles , the danger of getting ripped off by dishonest appraisers appears to be growing",1,1
"One of the highest concentrations of chemical plants in the nation , its hulking factories whir and hiss , pumping steam into a hazy , burnt - orange sky",1,1
"If that sounds like obstinacy , perhaps it 's time once more to examine carefully the forces that have kept the Arab - Israeli conflict boiling so long",1,0
Supermarket chains are n't willing to pay much for beef because they 've been flooded with cheap poultry,1,0
"`` I had to eat my words , '' he says",1,0
"Mr. Ozal says he will cool the economy this year , aiming to bring growth down to about 5 % from last year 's 7.3 % and 8.3 % in 1986",1,1
The Federal Reserve has shown its alarm over wage inflation by nudging interest rates higher in an attempt to cool economic growth,1,1
"Consequently , investment decisions in LDCs were centralized in the state , and development funds flowed primarily into socialist enterprises",1,1
"While acknowledging that the many hits he has taken have had an impact , Mr. Quayle says it is merely `` a question of when that perception will evaporate .",1,1
"Accordingly , they were among the hardest stung when that market proved to be illiquid and interest evaporated last year",1,1
Recruit Cosmos is turning into the scandal that refuses to die - - but also refuses to spin out of control,1,1
"When the three policemen asked Patrick Nyuka for his notes from a political rally , he did what any reporter for the Saamstaan newspaper would do: He ate them",1,1
PRESS RELEASES about lawyers are flooding newspaper offices as the profession becomes more aggressive about marketing,1,0
"`` As the amount of copper available for delivery rose above the number of contracts that had to be satisfied , the threat of a squeeze ' in the March contract evaporated , '' said William O'Neill , research director for Elders Futures Inc . , New York",1,0
`` They eat this stuff up like rock music .,1,0
Yesterday 's sell - off cooled inflationary fears throughout the financial markets,1,1
`` They 're afraid program trading will touch off another free fall and they 've been through that before .,1,1
"Meanwhile , GOP nominee George Bush 's day was largely drowned out by union shipyard hecklers at a marine ironworks plant in Portland , Ore",1,1
When the Detroit Free Press cools down,1,0
"As one breasts the current of this sometimes creamy , sometimes awkward self - regarding style - LRB - it 's obviously catching - RRB - , one inevitably thinks of death by drowning",1,1
"When the TV cameramen motion for him to run closer to the water , Sen. Gore readily complies , the waves rolling up to his feet",1,1
They will eat crow for what they have been saying,1,1
"`` The market had a bad spill on Friday , and normally when that happens they absolutely kill it on Monday , '' said Bernard Savaiko , senior precious metals analyst for PaineWebber Inc . , New York",1,1
`` The army would n't be able to cool it down or control it,1,1
Lightning seldom strikes twice in the same spot,1,0
Practically all worried that inflation and health - care costs would eat into retirement income and living standards,1,1
"Lord Bryce noted in 1888 , `` The conjunction of the forces of rank , wealth , knowledge , and intellect '' in a great metropolis like New York `` makes such a city a sort of foundry , '' a key place where `` opinion is melted and cast , '' and `` easily and swiftly propagated and diffused throughout the country .",1,0
"`` The market is absorbing all of the mill 's output of supercalender paper , '' Mr. Nugent said",1,0
"`` As long as the rains come pouring down on our land , we have hope .",1,1
"`` It does n't look good , but nobody at First Boston seems to care as long as the fees keep rolling in .",1,1
`` Moscow has been 80 % destroyed because Communists do n't like Russia .,1,0
"British farmers flourish under the EC 's Common Agriculture Policy , and its food companies have grown to global giants , in part because of EC markets",1,0
"Despite optimistic sounds coming out of Washington after the meeting on Sept. 22 and 23 between American Secretary of State Shultz and his Soviet counterpart , Eduard Shevardnadze , such talks could drag on interminably and result in stalemate and increased acrimony",1,1
"`` Just girls play with Barbie dolls and just boys play with GI Joe , '' she complains",1,1
"`` I 'll die , '' he replies",1,1
Free societies rest on a social contract agreed to by all the citizens,1,1
Weather is dominating the soybean market earlier than usual this year because the nation 's once - burdensome stockpiles are rapidly evaporating,1,0
Mr. Grove wants to cool overheated expectations,1,1
"Pop music did get stuck in the 1970s , as evidenced in the second film , `` The Gospel According to Al Green .",1,1
"In Frankfurt , the dollar 's surge against the mark sent West German shares sharply higher as foreign investors poured into the market late in the session , brokers said",1,1
"The black , bug - like computer chips that pour out of this plant at a rate of about one million a month may not be much to look at , but to Siemens AG they 're worth their weight in gold - - and then some",1,0
"Mr. Deaver , who does n't seem to mind what he reveals about himself , writes: `` I just melted .",1,1
"LAW SCHOOLS are besieged by applicants , after a five - year slump",1,0
"That he can play the hawk , given his 11 - year record in the House and Senate , shows what a dovish flock he 's flying with",1,1
`` The Saudis always have been careful about fixing something that is n't broken .,1,1
"In the year ended March 31 , North Sea oil pumped # 8.2 billion into government coffers",1,1
"Researchers hope that if the body is flooded with synthetic CD4 through intravenous infusion , the AIDS virus could be tricked into binding with the impostors , rendering the virus harmless to healthy cells",1,1
"Drought concerns are so great that `` they 're examining thunderstorms through a microscope , '' hoping every cloud will bring a downpour , says David Taylor , meteorologist for Weather Services Corp. of Bedford , Mass",1,1
"`` The question is , how many times does Congress have to stick its hands in the meat grinder before it notices it hurts ?",1,1
Anyone can dance the hokey - pokey,1,0
"After all , people laugh at the idea of an ostrich sticking its head in the sand , so why not laugh at such Free - World ostriches as Denmark , the Philippines , New Zealand and Spain ?/.",1,1
"`` I stayed home and drank for two years after that , '' he notes sadly",1,1
THIS YEAR marketers are again flooding supermarket shelves with new products - - everything from Cajun popcorn to ketchup in spray cans,1,1
Spirits may be the only solace in a land where the average person earns $ 350 a year and can never expect to have enough to eat,1,0
"`` The rumbling you hear . .. is the sound of Cadwalader , Wickersham and Taft rolling over in their graves at having the name of their firm identified '' in this kind of letter , says former Chief Justice Burger",1,1
"He said the legislation should n't be so generous as to induce any farmers to plow under their crops , and should n't `` bust the budget .",1,0
Bachelor 's diet: You only eat half of everything you cook - - because the other half sticks to the bottom of the pan,1,0
"Faldo missed from six feet on 12 for a bogey , and the two - stroke swing sealed his doom",1,1
"I have to tell you I 've been through many periods in my life where I have n't slept at night , where I had a very hard time sleeping at night",1,1
"The response is most powerful among black voters , where apartheid touches an emotional chord reaching across class lines",1,1
But the rally evaporated around midday as rumors began to spread that Wall Street would open lower,1,0
"The trick is to focus narrowly on the bonds among guys who have been through hell together and will stick together unto death , without bothering with their attitudes toward the cause for which they are fighting",1,1
All that America inadvertently has done is strike a match in the midst of a bonfire,1,0
"`` If more Japanese investors start to jump off the - LRB - dollar - RRB - bandwagon , we 'll see the interbank community ride their coattails '' and sell dollars , too , he said",1,1
"The platform bids voters to `` remember the Carter - Mondale years , '' adding: `` The Democrats would drag us back to those dreadful years when inflation was robbing workers of their earnings , consumers of their spending power and families of their savings .",1,1
`` Does somebody have to get hurt - - or killed ?,1,1
"Audiences love the interplay between Brown , a renowned bassist , and Harris , whose technique and volcanic energy moved one colleague to say , `` If God meant us to play like that , He would have given us 88 fingers .",1,1
"In this isolated valley where peasants furrow their cornfields with mule - drawn wooden plows , archaeologists are unearthing a cradle of ancient Mexican civilization - - an Olmec settlement that flourished between 1200 and 600 B.C",1,1
"In the following decade , the Federal Reserve flooded the banks with reserves , providing the raw material for BankAmerica 's profligate lending policies while also creating a spiraling inflation",1,1
"Britain 's retail sales rose sharply in July and industrial production slipped in June , prompting speculation that British officials may soon direct an additional rise in banks ' base lending rates to cool inflation",1,1
"In previous droughts , culling temporarily flooded grocers with cheap beef",1,0
"Since the middle of August , there have been some signs that the economy has begun to cool off",1,1
"The hardest - - that is , most invulnerable - bases in the Western orbit are in Switzerland , Israel and Saudi Arabia ; they have deep , extensive underground facilities and can ride out an attack and deliver a punishing counterblow",1,1
"Charles Wafer , one of the most active local traders in the soybean pit , said that the profitability of several local traders followed a roller coaster ride similar to that of Mr. Dennis this year",1,0
"His vocal pyrotechnics command the stage even when he is disappearing in a puff of smoke , magically reappearing on a flying crane , or battling hairy monsters who look like they just stumbled in from MTV 's `` Headbangers ' Ball .",1,0
"His inadequacy , vacillation and - LRB - a favorite - RRB - `` imbecility '' were widely condemned , along with his intellect , or lack of it: `` You can not . .. fill his . .. empty skull with brains .",1,1
Packaged - goods brand managers live or die by monthly sales reports showing the impact of coupons and other short - term promotions,1,0
"Peter Lynch , who runs Fidelity Investments ' mammoth Magellan Fund , said the recent performance of the big funds , which stumbled badly late last year , should shoot down the theory that they are `` over the hill .",1,0
The cost of home heating and cooling skyrocketed with the price of energy,1,0
"One copyright lawyer familiar with advertising issues said that if the fight gets to court , the dispute would hinge on whether Soap Opera is `` really poking fun at Rolling Stone , or whether they 're just using that campaign as a cheap , if you will , creative attempt to ride on their shirttails .",1,0
"`` Advertisers are expected to drag their heels a little bit - LRB - now - RRB - , arguing that , hey , there just are n't that many eyeballs out there .",1,1
"Neither man is currently a government official , but the idea of a reprise of Mr. Kissinger 's famed opening to China in the early 1970s is so tantalizing that the rumor refuses to die",1,1
"`` We do n't just go to sleep , we 're moving in rhythmic , almost melodic ways , '' Mr. Spagna says",1,0
In 1984 Acorn was ready but the market was evaporating,1,0
"`` I saw my whole life melting away , '' he recalls",1,0
"Change will come slowly , because Japanese society still has a strong tendency to hammer down any nail that sticks up",1,1
"At least one dealer , Mr. Feigen , feels that art as an investment is a fad that could evaporate if the Japanese economy weakens",1,0
"And Bank Board Chairman Danny Wall says that , by getting hefty shares of profit and stock if Pelican turns around , the board will `` share on the up - side , '' rather than just bearing the risk of absorbing further losses",1,1
He has finally escaped the shadow of his father .,1,1
"`` Meese 's pudgy shape and face give him no advantage at all , '' but `` Baker looks like someone who has just stepped out of Gentlemen 's Quarterly .",1,1
"I , for one , am `` dancing on the ceiling .",1,0
Is there any chance that the spirit of a united Europe can be planted beyond the Oder - Neisse Line ?/.,1,1
"In previous elections , he rode the coattails of the other Gary Hart , and even held a `` Hart - to - Hart '' fund - raiser with him in Santa Barbara",1,1
One of their favorite songs has the line: `` It rains and rains Until the stones will break .,1,1
Mr. O'Gorman at Nomura and other traders said the demand for stocks seemed to evaporate as the industrial average moved beyond 2070,1,0
"The celebration is a rambunctious countrystyle baptism on a central highlands cattle ranch , with serenading mariachis , swaggering cowboys , and white - jacketed waiters pouring tequila like water",1,0
"`` European electronics companies would invent a new product , and then six of them would each make it and kill each other , while the Japanese grabbed the market , '' says Mr. Salzmann , President Mitterrand 's adviser",1,1
"Iran was riding high then as its army pounded Basra , Iraq 's second largest city",1,0
And she recalls Joshua 's reaction to his first week of first grade: `` They do n't give us enough time to rest our heads and our hands .,1,0
"Similarly , Victor Munoz , a Chihuahua - born U.S. labor leader , credits the PAN for planting the seeds of democracy",1,1
"He thought we were all riding on the third wave and it turned out to be the fourth , and last , wave of the cycle , he later said",1,1
"About 80 separate documents had to be filled out , many of them in an effort to reassure institutional money managers about the company 's credit - worthiness and prospects , Mr. Koch says , adding , `` There were times I wanted to kill .",1,0
"Some kill by burning the skin and lungs , some by causing convulsions and paralysis , and some simply by putting the victim to sleep",1,1
The Koran allows believers to `` eat and drink until you can tell a white thread from a black one in the light of the coming dawn .,1,1
`` Any company in this market that hiccups is just destroyed,1,1
"The company has been pumping gas in Houston for more than 25 years , but is classified in the area as a non - major , with a market share of just 2.6 % , according to Whitney Leigh",1,1
"What I can say is that these things are inexplicably beautiful , as is almost always the case in Mr. Wilson 's work ; that Mr. Muller 's text , in the translation of Carl Weber , keeps finding new ways to express the contradictions of the human spirit ; and that `` Quartet '' seems to flow through its two - hour running time like a shifting stream of hot lava - - you do n't know where it 's going next , but you want to be sure and leave it plenty of room",1,0
"`` I thought I was eating him alive , '' recalled a rueful Mr. Bailey of a long - ago debate",1,1
"Securities laws require that a firm `` know '' its customers , so when Mr. Pessin sees a new account form listing only a post - office box , he grabs his handcuffs and heads for the firm 's trading floor",1,0
"To survive , however , the Democrat must maintain its market share , which Mr. Hussman estimates at about 40 % , without drowning in red ink",1,1
"Moreover , because the embargo policy rests on the cooperation of journalists , many see the end is near",1,1
"Mr. McDonald contrasted the current atmosphere with the early days of the redesign , when funds flowed freely",1,0
The guns of Angola have n't rested a day in 27 years,1,1
"`` Everyone 's been kind of put to sleep here , '' Mr. Wosczyna said",1,1
"Of course , there are those who grab texts from writers and then give the speeches caring only for the pretty sounds of the words as they roll off their tongues",1,1
"By a 228 - 182 vote , the House knocked out of the bill the waiting - period provision , which is called the Brady amendment for James Brady , the White House spokesman who was shot along with President Reagan in 1981 by an assailant using a handgun",1,1
So lawmakers themselves are stepping into the void and drafting new aid packages,1,1
He conveys the image of a manager with shirt sleeves rolled up who is ready to go to work to help America compete,1,1
"`` Kostmayer pumped in maybe $ 500 , 000 , maybe more , into television",1,1
"As late as Wednesday night , jets carrying signatures were still touching down at the airport in Brasilia , and motorcades were flowing into town",1,0
"They were greeted by dancing pigs , flying pigs and several hundred thousand people pigging out",1,0
Last year the movies were filled with babies,1,1
"`` One of the clues that it was n't really a crash was that she said everyone else slept through it , '' he says",1,1
"The issue is particularly hot in Florida , where a coalition of civic leaders , civil libertarians and Hispanic groups went to federal court recently in an unsuccessful attempt to knock the proposed amendment off the ballot",1,1
`` It 's better to smooth a day 's fluctuations .,1,1
"- - Last September , 22 - year - old Kimberly Isaac of Baton Rouge , La . , was badly scraped over a large part of her body when a 1977 LTD she had just parked in a grocery - store lot backed up , knocking her over and dragging her in circles",1,1
By the time they reached the Inner Court many were beginning to look bleary - eyed as they wandered through a sea of glass cases filled with everything from Han jugs to Ming wall - scrolls and jades,1,1
"Districts jump back and forth over mountain ranges , cross large bodies of water , send out little tentacles to absorb special communities and ensure safe seats .",1,0
"`` Cold water has been poured on the market and any advance has been stopped dead in its tracks , '' one dealer said",1,1
"Gary Lynch , the director of enforcement at the SEC , recalls some investment bankers who passed their polygraph tests with flying colors during insider - trading probes",1,1
Their anger is targeted on the new `` supplemental premium '' that more than 40 % of Medicare beneficiaries will pay to finance the bill 's $ 30 billion cost the next five years,1,1
"Yet last year as every year , billions of dollars were riding on cases of sometimes little ideological content but major importance to the economy",1,0
"The Australian experience might be of interest to the U.S . , which just agreed to pump nearly $ 1 billion of development aid into the Philippines",1,1
"When they repeated the tests with the special precautions , the sensational results evaporated",1,1
So it should n't come as a big surprise that the world 's art is now flowing to Japan,1,0
"But the fever cooled yesterday as the shares fell 1 8 to 6 7 8 on volume of only 33 , 700",1,1
"As Jim Wells , head of the pesticide - use branch of the California Department of Food and Agriculture , notes , `` We can not escape one fact: we are living older , healthier and more mentally acute than we have ever lived in the history of mankind",1,0
"They should be eating chocolate cake , instead they are bleeding from their souls .",1,0
"`` We 're not sleeping anymore , '' says Hans Decker , president of New York - based Siemens Capital Corp",1,1
"`` If we keep this up , we 'll die with our flag .",1,0
"There was , for instance , Mr. Jackson 's visit to the Coming Home hospice in San Francisco 's Castro Street area , where he grasped the hands of patients waiting to die from AIDS",1,1
"A synthetic version , prepared by means of recombinant DNA , is to be given in an intravenous infusion in the hope that flooding the body with false targets would mop up virus particles and prevent them from infecting cells of the body",1,1
He insults guests - - `` Zip it ! `` - - and has assaulted at least one of them,1,0
He talks of a `` debt cone '' that will melt down once consumers and businesses realize it does n't pay to borrow at high real interest rates to buy assets whose values are n't rising as fast as they were,1,1
The people who make the decisions - - directors and big institutional investors - - seem prepared to keep the money flowing to the top so long as the return to shareholders is deemed adequate,1,1
"But the problem of Premier , he adds , could drag the FDA `` into a legal - resources 'black hole ' that could paralyze new drug approvals .",1,1
"In general , the race to study the CD4 protein is based on the theory that flooding the body with synthetic copies of CD4 will cause the virus to bind to the copies and not to infect the cells of the immune system",1,1
"Gustave de La France , an old farmer who lives deep in the bald mountains near Hinche , says: `` When it rains , the spirits in the rocks are nourished , so the rocks grow larger .",1,1
"Still , opponents paint the company as a heavy - handed marauder , riding roughshod over public will",1,1
"Bishop de Landa , recalled to Spain in 1568 , went down in history as a book - burner for destroying the Maya codices , an act that seems more understandable as we learn more about their civilization",1,0
But confidence in that forecast began to evaporate on March 4 when the Labor Department reported a much larger increase in employment last month than anyone had expected,1,0
